RCPT_YR,CGG_NM,STDG_NM,LOTNO_SE_NM,MNO,SNO,BLDG_USG,LAND_AREA,ARCH_AREA,THING_AMT,CTRT_DAY,ARCH_YR,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,종로구,평창동,,,,단독다가구,651.0,409.55,450000,20250519,2005,중개거래,서울 종로구
2025,종로구,평창동,,,,단독다가구,651.0,409.55,450000,20250519,2005,중개거래,서울 종로구
2025,종로구,평창동,,,,단독다가구,651.0,409.55,450000,20250519,2005,중개거래,서울 종로구
2025,종로구,권농동,,,,단독다가구,111.0,67.0,165000,20250520,2018,중개거래,서울 강남구
2025,종로구,숭인동,,,,단독다가구,81.0,120.49,64300,20250521,1982,중개거래,서울 종로구
2025,종로구,효제동,,,,단독다가구,67.0,39.67,67000,20250521,1911,중개거래,서울 종로구
2025,종로구,구기동,,,,단독다가구,102.0,49.59,45000,20250521,1968,중개거래,서울 종로구
2025,종로구,사직동,,,,단독다가구,53.0,31.08,90000,20250523,1911,중개거래,서울 종로구
2025,종로구,숭인동,,,,단독다가구,82.0,50.02,46000,20250524,1961,중개거래,"서울 강동구, 서울 송파구"
2025,종로구,숭인동,,,,단독다가구,82.0,50.02,46000,20250524,1961,중개거래,"서울 강동구, 서울 송파구"
2025,종로구,옥인동,,,,단독다가구,82.0,67.83,67500,20250526,1981,중개거래,서울 종로구
2025,종로구,팔판동,,,,단독다가구,153.0,62.81,195000,20250527,1911,중개거래,서울 강남구
2025,종로구,안국동,,,,단독다가구,235.0,87.16,442555,20250527,1911,중개거래,서울 종로구
2025,종로구,안국동,,,,단독다가구,350.0,190.25,657445,20250527,1911,중개거래,서울 종로구
2025,종로구,창성동,,,,단독다가구,94.0,196.32,162000,20250528,1997,중개거래,서울 종로구
2025,종로구,옥인동,,,,단독다가구,82.0,67.83,67500,20250531,1911,중개거래,서울 종로구
2025,종로구,평창동,,,,단독다가구,484.0,452.03,500000,20250531,2011,중개거래,서울 강남구
2025,종로구,명륜3가,,,,단독다가구,116.0,271.17,138766,20250602,1993,중개거래,서울 종로구
2025,종로구,사간동,,,,단독다가구,115.0,118.94,120000,20250602,1999,직거래,
