RCPT_YR,CGG_NM,STDG_NM,LOTNO_SE_NM,MNO,SNO,BLDG_USG,LAND_AREA,ARCH_AREA,THING_AMT,CTRT_DAY,ARCH_YR,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,용산구,동빙고동,,,,단독다가구,83.0,111.41,300000,20250226,1993,중개거래,서울 용산구
2025,용산구,청파동3가,,,,단독다가구,85.0,61.46,87000,20250227,1966,중개거래,서울 용산구
2025,용산구,이태원동,,,,단독다가구,155.0,191.76,390000,20250227,1989,중개거래,서울 용산구
2025,용산구,한강로3가,,,,단독다가구,103.0,42.98,209900,20250227,1959,중개거래,서울 용산구
2025,용산구,서빙고동,,,,단독다가구,224.0,224.12,410000,20250227,1976,중개거래,서울 용산구
2025,용산구,이태원동,,,,단독다가구,89.0,86.28,300000,20250301,1995,중개거래,서울 용산구
2025,용산구,이태원동,,,,단독다가구,122.0,82.45,220000,20250303,1969,중개거래,서울 용산구
2025,용산구,동빙고동,,,,단독다가구,231.0,75.7,650000,20250304,1966,중개거래,서울 용산구
2025,용산구,한강로3가,,,,단독다가구,43.0,26.45,135000,20250305,1958,중개거래,서울 용산구
2025,용산구,주성동,,,,단독다가구,162.0,61.88,410000,20250305,1967,중개거래,서울 용산구
2025,용산구,보광동,,,,단독다가구,83.0,102.79,300000,20250307,1975,중개거래,서울 용산구
2025,용산구,보광동,,,,단독다가구,221.0,308.35,530000,20250307,1988,중개거래,서울 용산구
2025,용산구,이태원동,,,,단독다가구,330.0,265.67,590000,20250307,1991,중개거래,서울 강남구
2025,용산구,보광동,,,,단독다가구,188.0,279.83,445000,20250308,1993,중개거래,서울 용산구
2025,용산구,보광동,,,,단독다가구,100.0,151.6,335000,20250311,1985,중개거래,서울 용산구
2025,용산구,서빙고동,,,,단독다가구,139.0,203.68,420000,20250311,1990,중개거래,서울 용산구
2025,용산구,보광동,,,,단독다가구,165.0,228.58,500000,20250311,1990,중개거래,서울 용산구
2025,용산구,보광동,,,,단독다가구,69.0,39.95,260000,20250311,1985,중개거래,서울 용산구
2025,용산구,보광동,,,,단독다가구,50.0,27.27,240000,20250311,1961,중개거래,"서울 성동구, 서울 용산구"
2025,용산구,용산동2가,,,,단독다가구,88.0,134.0,88000,20250311,1985,중개거래,서울 용산구
2025,용산구,동빙고동,,,,단독다가구,165.0,163.96,455000,20250311,1975,중개거래,서울 용산구
2025,용산구,보광동,,,,단독다가구,126.0,48.75,345000,20250312,1959,중개거래,서울 서초구
2025,용산구,용산동2가,,,,단독다가구,191.0,311.75,313000,20250313,2005,중개거래,서울 용산구
2025,용산구,이태원동,,,,단독다가구,86.0,57.52,169000,20250313,1959,중개거래,서울 용산구
2025,용산구,보광동,,,,단독다가구,93.0,152.88,305000,20250313,1991,중개거래,"서울 서초구, 서울 용산구"
2025,용산구,용산동2가,,,,단독다가구,109.0,153.0,138000,20250314,1984,중개거래,서울 용산구
