_prptDivCd,_pvctTrgtYn,alcYn,apslEvlAmt,apslPrcCtrsLowstBidRto,batcBidYn,bidDivCd,bidDivNm,bidMthodCd,bidMthodNm,bidPrgnNft,bldSqms,cltrBidBgngDt,cltrBidEndDt,cltrMngNo,cltrStatMngCd,cltrUsgLclsCtgrId,cltrUsgLclsCtgrNm,cltrUsgMclsCtgrId,cltrUsgMclsCtgrNm,cltrUsgSclsCtgrId,cltrUsgSclsCtgrNm,collbBidPsblYn,cptnMthodCd,cptnMthodNm,crtnYn,dspsMthodCd,dspsMthodNm,dtbtRqrEdtmCont,eltrGrprUseYn,evcRsbyTrgtCont,feeRate,frstBidPrc,frstCtrsLowstBidPrcRto,landSqms,lctnEmdNm,lctnSdnm,lctnSggnm,lowstBidPrcIndctCont,ltnoPnu,mdfcnDt,onbidCltrNm,onbidCltrno,onbidPbancNo,orgNm,pbctCdtnNo,pbctNo,pbctNsq,pbctStatCd,pbctStatNm,pbctsn,prptDivCd,prptDivNm,pvctTrgtYn,rdnmPnu,rentMthodNm,rentPerdCont,rqstOrgNm,subtBidPsblYn,thnlImgUrlAdr,totalamtUnpcDivCd,totalamtUnpcDivNm,twtmGthrBidPsblYn,usbdNft
0005,Y,N,706580000,,N,0001,전자입찰,0001,최고가방식,0,32.3,202509171000,202509171800,2025-0700-054678,0005,10000,부동산,10300,상가용및업무용건물,10301,근린생활시설,N,0001,일반경쟁,N,0001,매각,,N,매수자,,0,,2303.9,서초동,서울특별시,서초구,574800000,,20250801084734,"서울특별시 서초구 서초동 1302-1 외 2필지, 123호 근린생활시설",1914704,834243,대신자산신탁 주식회사,5517768,9957282,6,0009,수의계약가능,1,0005,기타일반재산,Y,,,-,,N,https://www.onbid.co.kr/op/cm/syc/filemng/filemngprcs/FileMngPrcsController/dnldFile.do?atchFileLstNo=16302168&atchSn=3&hashCrpsNo=FOOJCBDCAHKCIEAEGOFGJIJEPBBJLOEKKADPPIEJHMAJIFCPGMFDKEFBGGPINPEL&downloadImageKind=THNL_NM,0001,총액,N,6
0005,Y,N,706580000,,N,0001,전자입찰,0001,최고가방식,0,32.3,202509171000,202509171800,2025-0700-054681,0005,10000,부동산,10300,상가용및업무용건물,10301,근린생활시설,N,0001,일반경쟁,N,0001,매각,,N,매수자,,0,,2303.9,서초동,서울특별시,서초구,574800000,,20250801085005,"서울특별시 서초구 서초동 1302-1 외 2필지, 122호 근린생활시설",1914707,834239,대신자산신탁 주식회사,5517745,9957273,6,0009,수의계약가능,1,0005,기타일반재산,Y,,,-,,N,https://www.onbid.co.kr/op/cm/syc/filemng/filemngprcs/FileMngPrcsController/dnldFile.do?atchFileLstNo=16302165&atchSn=3&hashCrpsNo=FOOJCBDCAHKCIEAEGOFGJIJEPBBJLOEKKADPPIEJHMAJIFCPGMFDKEFBGGPINPEL&downloadImageKind=THNL_NM,0001,총액,N,6
0005,Y,N,706580000,,N,0001,전자입찰,0001,최고가방식,0,32.3,202509171000,202509171800,2025-0700-054687,0005,10000,부동산,10300,상가용및업무용건물,10301,근린생활시설,N,0001,일반경쟁,N,0001,매각,,N,매수자,,0,,2303.9,서초동,서울특별시,서초구,574800000,1165010800013020001,20250801085005,"서울특별시 서초구 서초동 1302-1 외 2필지, 121호 업무시설",1914713,834239,대신자산신탁 주식회사,5517746,9957273,6,0009,수의계약가능,1,0005,기타일반재산,Y,1165031210160100022600000,,-,,N,https://www.onbid.co.kr/op/cm/syc/filemng/filemngprcs/FileMngPrcsController/dnldFile.do?atchFileLstNo=16301885&atchSn=2&hashCrpsNo=FOOJCBDCAHKCIEAEGOFGJIJEPBBJLOEKKADPPIEJHMAJIFCPGMFDKEFBGGPINPEL&downloadImageKind=THNL_NM,0001,총액,N,6
0005,Y,N,860000000,,N,0001,전자입찰,0001,최고가방식,0,61.39,202509171000,202509171700,2025-0800-060362,0005,10000,부동산,10300,상가용및업무용건물,10301,근린생활시설,N,0001,일반경쟁,N,0001,매각,,N,매수자,,0,,13.58,대조동,서울특별시,은평구,350299000,,20250820171653,서울특별시 은평구 대조동 15-49 101호 근린생활시설,1921435,837848,코리아신탁주식회사,5569749,9965188,13,0009,수의계약가능,1,0005,기타일반재산,Y,,,-,,Y,https://www.onbid.co.kr/op/cm/syc/filemng/filemngprcs/FileMngPrcsController/dnldFile.do?atchFileLstNo=16372550&atchSn=1&hashCrpsNo=MCHGJPDIBBMOIBMGGCLHFGIAHOJHEJFIMAJNKGEILHONKOEGDPPFLABJADIGPEBP&downloadImageKind=THNL_NM,0001,총액,Y,13
0005,Y,N,,,N,0001,전자입찰,0001,최고가방식,0,33.6,202509171000,202509171600,2024-0200-014632,0005,10000,부동산,10500,용도복합용건물,10503,오피스텔,N,0001,일반경쟁,N,0001,매각,,N,매수자,,0,,,불광동,서울특별시,은평구,214000000,1138010300002850011,20250819170147,서울특별시 은평구 불광동 285-11 경인에버빌 402호 오피스텔,1752492,837582,주식회사 무궁화신탁,5562680,9964719,7,0009,수의계약가능,1,0005,기타일반재산,Y,1138030000080200070800008,,-,,N,https://www.onbid.co.kr/op/cm/syc/filemng/filemngprcs/FileMngPrcsController/dnldFile.do?atchFileLstNo=14834353&atchSn=1&hashCrpsNo=NLGKKCKHCJKADPGGEANDDMNKFLFDFJLPBGOCIOIODFOLGBBFDNIDLGOGEEKJKPME&downloadImageKind=THNL_NM,0001,총액,N,13
0005,Y,N,,,N,0001,전자입찰,0001,최고가방식,0,33.6,202509171000,202509171600,2024-0200-014635,0005,10000,부동산,10500,용도복합용건물,10503,오피스텔,N,0001,일반경쟁,N,0001,매각,,N,매수자,,0,,,불광동,서울특별시,은평구,218000000,1138010300002850011,20250819170147,서울특별시 은평구 불광동 285-11 경인에버빌 502호 오피스텔,1752496,837582,주식회사 무궁화신탁,5562681,9964719,7,0009,수의계약가능,1,0005,기타일반재산,Y,1138030000080200070800008,,-,,N,https://www.onbid.co.kr/op/cm/syc/filemng/filemngprcs/FileMngPrcsController/dnldFile.do?atchFileLstNo=14834359&atchSn=1&hashCrpsNo=NLGKKCKHCJKADPGGEANDDMNKFLFDFJLPBGOCIOIODFOLGBBFDNIDLGOGEEKJKPME&downloadImageKind=THNL_NM,0001,총액,N,13
0005,Y,N,,,N,0001,전자입찰,0001,최고가방식,0,20.82,202509171000,202509171600,2024-0200-014637,0005,10000,부동산,10500,용도복합용건물,10503,오피스텔,N,0001,일반경쟁,N,0001,매각,,N,매수자,,0,,,불광동,서울특별시,은평구,155000000,1138010300002850011,20250819170147,서울특별시 은평구 불광동 285-11 경인에버빌 601호 오피스텔,1752498,837582,주식회사 무궁화신탁,5562682,9964719,7,0009,수의계약가능,1,0005,기타일반재산,Y,1138030000080200070800008,,-,,N,https://www.onbid.co.kr/op/cm/syc/filemng/filemngprcs/FileMngPrcsController/dnldFile.do?atchFileLstNo=14834366&atchSn=1&hashCrpsNo=NLGKKCKHCJKADPGGEANDDMNKFLFDFJLPBGOCIOIODFOLGBBFDNIDLGOGEEKJKPME&downloadImageKind=THNL_NM,0001,총액,N,13
0005,Y,N,,,N,0001,전자입찰,0001,최고가방식,0,33.6,202509171000,202509171600,2024-0200-014638,0005,10000,부동산,10500,용도복합용건물,10503,오피스텔,N,0001,일반경쟁,N,0001,매각,,N,매수자,,0,,,불광동,서울특별시,은평구,219000000,1138010300002850011,20250819170147,서울특별시 은평구 불광동 285-11 경인에버빌 602호 오피스텔,1752499,837582,주식회사 무궁화신탁,5562683,9964719,7,0009,수의계약가능,1,0005,기타일반재산,Y,1138030000080200070800008,,-,,N,https://www.onbid.co.kr/op/cm/syc/filemng/filemngprcs/FileMngPrcsController/dnldFile.do?atchFileLstNo=14834369&atchSn=1&hashCrpsNo=NLGKKCKHCJKADPGGEANDDMNKFLFDFJLPBGOCIOIODFOLGBBFDNIDLGOGEEKJKPME&downloadImageKind=THNL_NM,0001,총액,N,13
0005,Y,N,,,N,0001,전자입찰,0001,최고가방식,0,20.82,202509171000,202509171600,2024-0200-014639,0005,10000,부동산,10500,용도복합용건물,10503,오피스텔,N,0001,일반경쟁,N,0001,매각,,N,매수자,,0,,,불광동,서울특별시,은평구,191000000,1138010300002850011,20250819170147,서울특별시 은평구 불광동 285-11 경인에버빌 901호 오피스텔,1752500,837582,주식회사 무궁화신탁,5562684,9964719,7,0009,수의계약가능,1,0005,기타일반재산,Y,1138030000080200070800008,,-,,N,https://www.onbid.co.kr/op/cm/syc/filemng/filemngprcs/FileMngPrcsController/dnldFile.do?atchFileLstNo=14834370&atchSn=1&hashCrpsNo=NLGKKCKHCJKADPGGEANDDMNKFLFDFJLPBGOCIOIODFOLGBBFDNIDLGOGEEKJKPME&downloadImageKind=THNL_NM,0001,총액,N,13
0005,Y,N,,,N,0001,전자입찰,0001,최고가방식,0,33.6,202509171000,202509171600,2024-0200-014640,0005,10000,부동산,10500,용도복합용건물,10503,오피스텔,N,0001,일반경쟁,N,0001,매각,,N,매수자,,0,,,불광동,서울특별시,은평구,260000000,1138010300002850011,20250819170147,서울특별시 은평구 불광동 285-11 경인에버빌 902호 오피스텔,1752502,837582,주식회사 무궁화신탁,5562685,9964719,7,0009,수의계약가능,1,0005,기타일반재산,Y,1138030000080200070800008,,-,,N,https://www.onbid.co.kr/op/cm/syc/filemng/filemngprcs/FileMngPrcsController/dnldFile.do?atchFileLstNo=14834371&atchSn=1&hashCrpsNo=NLGKKCKHCJKADPGGEANDDMNKFLFDFJLPBGOCIOIODFOLGBBFDNIDLGOGEEKJKPME&downloadImageKind=THNL_NM,0001,총액,N,13
0005,Y,N,12766300000,,N,0001,전자입찰,0001,최고가방식,0,,202509171000,202509171600,2025-0700-049949,0005,10000,부동산,10100,토지,10101,대지,N,0001,일반경쟁,N,0001,매각,,N,낙찰자,,0,,481,노량진동,서울특별시,동작구,9258200000,1159010100000580020,20250717141818,서울특별시 동작구 노량진동 58-20 대지,1909248,831593,주식회사 무궁화신탁,5494087,9951823,8,0009,수의계약가능,1,0005,기타일반재산,Y,,,-,,N,https://www.onbid.co.kr/op/cm/syc/filemng/filemngprcs/FileMngPrcsController/dnldFile.do?atchFileLstNo=16255426&atchSn=1&hashCrpsNo=HFIOHMBDOEADIEMFIAKNDCEIHDLCNJLNNGEIKFEGPMFGGAMCLCDDMDBABBAFGGHL&downloadImageKind=THNL_NM,0001,총액,N,8
0005,Y,N,284000000,,N,0001,전자입찰,0001,최고가방식,0,21.715,202509160900,202509161700,2025-0800-060837,0005,10000,부동산,10300,상가용및업무용건물,10311,업무시설,Y,0001,일반경쟁,N,0001,매각,,N,낙찰자,,0,,4.456,황학동,서울특별시,중구,213000000,1114016500012570000,20250821175249,서울특별시 중구 황학동 1257 한양립스이노와이즈 제2층 제231호,1921839,838092,주식회사 하나자산신탁,5571277,9965750,1,0009,수의계약가능,7,0005,기타일반재산,Y,1114041030050100006300000,,-,,N,https://www.onbid.co.kr/op/cm/syc/filemng/filemngprcs/FileMngPrcsController/dnldFile.do?atchFileLstNo=16381577&atchSn=1&hashCrpsNo=GAEMLEOJHMODJCDJDKMBGDGDKMOEGLJGMGNOENCHJFGGONFONJJBABDEJMABODPB&downloadImageKind=THNL_NM,0001,총액,N,7
0005,Y,N,467000000,,N,0001,전자입찰,0001,최고가방식,0,36.071,202509160900,202509161700,2025-0800-060843,0005,10000,부동산,10300,상가용및업무용건물,10311,업무시설,Y,0001,일반경쟁,N,0001,매각,,N,낙찰자,,0,,7.361,황학동,서울특별시,중구,394000000,1114016500012570000,20250821175249,서울특별시 중구 황학동 1257 한양립스이노와이즈 제3층 제305호,1921847,838092,주식회사 하나자산신탁,5571278,9965750,1,0009,수의계약가능,7,0005,기타일반재산,Y,1114041030050100006300000,,-,,N,https://www.onbid.co.kr/op/cm/syc/filemng/filemngprcs/FileMngPrcsController/dnldFile.do?atchFileLstNo=16381591&atchSn=1&hashCrpsNo=GAEMLEOJHMODJCDJDKMBGDGDKMOEGLJGMGNOENCHJFGGONFONJJBABDEJMABODPB&downloadImageKind=THNL_NM,0001,총액,N,7
0005,Y,N,407000000,,N,0001,전자입찰,0001,최고가방식,0,30.82,202509160900,202509161700,2025-0800-060846,0005,10000,부동산,10300,상가용및업무용건물,10311,업무시설,Y,0001,일반경쟁,N,0001,매각,,N,낙찰자,,0,,6.29,황학동,서울특별시,중구,308000000,1114016500012570000,20250821175249,서울특별시 중구 황학동 1257 한양립스이노와이즈 제4층 제402호,1921850,838092,주식회사 하나자산신탁,5571279,9965750,1,0009,수의계약가능,7,0005,기타일반재산,Y,1114041030050100006300000,,-,,N,https://www.onbid.co.kr/op/cm/syc/filemng/filemngprcs/FileMngPrcsController/dnldFile.do?atchFileLstNo=16381596&atchSn=1&hashCrpsNo=GAEMLEOJHMODJCDJDKMBGDGDKMOEGLJGMGNOENCHJFGGONFONJJBABDEJMABODPB&downloadImageKind=THNL_NM,0001,총액,N,7
