sigunguCd,bjdongCd,platGbCd,bun,ji,bldNm,splotNm,regstrKindCdNm,mainPurpsCdNm,etcPurps,platArea,archArea,totArea,useAprDay,grndFlrCnt,ugrndFlrCnt,platPlc
11290,10100,0,0001,0000,,,일반건축물,문화및집회시설,차고,742.31,0,31.75,20031013,0,1,서울특별시 성북구 성북동 1번지
11290,10100,0,0001,0000,,,일반건축물,문화및집회시설,주차장,742.31,0,42.25,20031013,0,1,서울특별시 성북구 성북동 1번지
11290,10100,0,0001,0000,,,일반건축물,문화및집회시설,문화집회시설(전시장),742.31,150.99,394.46,19840109,2,1,서울특별시 성북구 성북동 1번지
11290,10100,0,0001,0002,,,일반건축물,단독주택,단독주택,1058.57,311.33,747.95,20121231,2,1,서울특별시 성북구 성북동 1-2번지
11290,10100,0,0001,0005,,,일반건축물,단독주택,단독주택,433,133.36,367.34,19691103,2,1,서울특별시 성북구 성북동 1-5번지
11290,10100,0,0001,0008,,,일반건축물,문화및집회시설,문화및집회시설(전시장),1064,319.14,512.78,20110511,2,0,서울특별시 성북구 성북동 1-8번지
11290,10100,0,0001,0008,,,일반건축물,제1종근린생활시설,제 1종근린생활시설(소매점),1064,0,214.5,20230207,0,1,서울특별시 성북구 성북동 1-8번지
11290,10100,0,0001,0011,,,일반건축물,단독주택,경비실,994.61,263.28,16.55,20000529,1,0,서울특별시 성북구 성북동 1-11번지
11290,10100,0,0001,0011,,,일반건축물,단독주택,단독주택,994.61,272.83,532.45,20000529,2,1,서울특별시 성북구 성북동 1-11번지
11290,10100,0,0001,0013,,,일반건축물,단독주택,주택,0,0,693.26,19700806,2,1,서울특별시 성북구 성북동 1-13번지
11290,10100,0,0001,0014,,,일반건축물,단독주택,주택,0,0,595.87,19700724,2,1,서울특별시 성북구 성북동 1-14번지
11290,10100,0,0001,0016,,,일반건축물,단독주택,차고및경비실,0,0,53.24,19940226,1,1,서울특별시 성북구 성북동 1-16번지
11290,10100,0,0001,0016,,,일반건축물,제1종근린생활시설,제1종근린생활시설,964.08,260.58,576.63,19940226,2,1,서울특별시 성북구 성북동 1-16번지
11290,10100,0,0001,0018,,,일반건축물,단독주택,단독주택,548,164.01,330.42,20061124,2,1,서울특별시 성북구 성북동 1-18번지
11290,10100,0,0001,0019,,,일반건축물,단독주택,주택,0,0,327.55,19781226,2,1,서울특별시 성북구 성북동 1-19번지
