sigunguCd,bjdongCd,platGbCd,bun,ji,bldNm,splotNm,regstrKindCdNm,mainPurpsCdNm,etcPurps,platArea,archArea,totArea,useAprDay,grndFlrCnt,ugrndFlrCnt,platPlc
11410,11600,0,0002,0002,,,일반건축물,제2종근린생활시설,근린생활시설,266,129.6,658.26,19931230,4,1,서울특별시 서대문구 창천동 2-2번지
11410,11600,0,0002,0006,아웃백 스테이크 전문점,,일반건축물,제2종근린생활시설,근린생활시설,432.1,257.94,652.1,20020806,4,0,서울특별시 서대문구 창천동 2-6번지
11410,11600,0,0002,0007,,,일반건축물,제1종근린생활시설,"근린생활시설, 단독주택",351,210.48,1085.1,19930609,5,1,서울특별시 서대문구 창천동 2-7번지
11410,11600,0,0002,0014,,,일반건축물,제1종근린생활시설,"제1종근린생활시설(휴게음식점,기타)",73.5,44.78,188.56,19940506,3,1,서울특별시 서대문구 창천동 2-14번지
11410,11600,0,0002,0016,,,일반건축물,단독주택,주택,76,0,68.08,19860221,2,0,서울특별시 서대문구 창천동 2-16번지
11410,11600,0,0002,0017,,,일반건축물,제1종근린생활시설,근린생활시설및단독주택,158.56,77.16,299.7,19930804,4,1,서울특별시 서대문구 창천동 2-17번지
11410,11600,0,0002,0019,,,일반건축물,제2종근린생활시설,근린생활시설및단독주택,73,44.81,265,19930818,5,1,서울특별시 서대문구 창천동 2-19번지
11410,11600,0,0002,0021,,,일반건축물,제1종근린생활시설,"제1,2종근린생활시설(소매점,사무소)",61,37.43,184.29,19930702,4,1,서울특별시 서대문구 창천동 2-21번지
11410,11600,0,0002,0022,MJ빌딩,,일반건축물,제1종근린생활시설,근린생활시설,79.64,44.85,242.52,19930831,5,1,서울특별시 서대문구 창천동 2-22번지
11410,11600,0,0002,0023,,,일반건축물,제2종근린생활시설,제2종근린생활시설,172,101.56,562.96,20050106,6,1,서울특별시 서대문구 창천동 2-23번지
11410,11600,0,0002,0024,,,일반건축물,단독주택,"주택, 근린생활시설",0,0,136.46,19660907,2,1,서울특별시 서대문구 창천동 2-24번지
11410,11600,0,0002,0026,,,일반건축물,제1종근린생활시설,주택및근린생활시설,0,0,124.16,19700625,2,1,서울특별시 서대문구 창천동 2-26번지
11410,11600,0,0002,0028,,,일반건축물,제2종근린생활시설,근린생활시설(일반음식점),175,97.18,97.18,,1,0,서울특별시 서대문구 창천동 2-28번지
11410,11600,0,0002,0031,,,일반건축물,제1종근린생활시설,근린생활시설,0,0,496.08,19900404,4,1,서울특별시 서대문구 창천동 2-31번지
11410,11600,0,0002,0032,,,일반건축물,제2종근린생활시설,제2종근린생활시설(일반음식점),121,68.4,131.6,20030520,3,0,서울특별시 서대문구 창천동 2-32번지
11410,11600,0,0002,0033,,,일반건축물,제1종근린생활시설,근린생활시설,0,0,295.81,19831212,3,1,서울특별시 서대문구 창천동 2-33번지
11410,11600,0,0002,0037,,,일반건축물,제1종근린생활시설,근린생활시설및주택,98.88,49.26,299.88,19940304,5,1,서울특별시 서대문구 창천동 2-37번지
11410,11600,0,0002,0038,,,일반건축물,제1종근린생활시설,"근린생활시설, 주택",126,62.7,364.68,19940531,5,1,서울특별시 서대문구 창천동 2-38번지
11410,11600,0,0002,0039,푸른마을,,일반건축물,제2종근린생활시설,"제2종근린생활시설(고시원, 일반음식점)",95.82,56.91,191.59,20110907,5,0,서울특별시 서대문구 창천동 2-39번지
11410,11600,0,0002,0042,,,일반건축물,제2종근린생활시설,근린생활시설,58.5,39.04,273.98,19950907,6,1,서울특별시 서대문구 창천동 2-42번지
11410,11600,0,0002,0043,,,일반건축물,단독주택,주택,63,0,29.82,19860122,1,0,서울특별시 서대문구 창천동 2-43번지
11410,11600,0,0002,0044,,,일반건축물,제2종근린생활시설,근린생활시설및주택,247.03,123.27,649.17,19940205,4,1,서울특별시 서대문구 창천동 2-44번지
11410,11600,0,0002,0046,학림빌딩,,일반건축물,제2종근린생활시설,제2종근린생활시설,143.79,86.18,458,20030424,5,1,서울특별시 서대문구 창천동 2-46번지
11410,11600,0,0002,0077,,,일반건축물,제2종근린생활시설,근린생활시설,0,0,62.81,19571115,1,0,서울특별시 서대문구 창천동 2-77번지
11410,11600,0,0002,0078,,,일반건축물,제2종근린생활시설,근린생활시설,0,0,55.98,19850627,1,0,서울특별시 서대문구 창천동 2-78번지
11410,11600,0,0002,0079,,,일반건축물,단독주택,단독주택,58.9,28.68,28.68,20150112,1,0,서울특별시 서대문구 창천동 2-79번지
11410,11600,0,0002,0080,,,일반건축물,제2종근린생활시설,근린생활시설,288,142.4,881.2,19910108,5,1,서울특별시 서대문구 창천동 2-80번지
11410,11600,0,0003,0000,,,일반건축물,단독주택,주택,0,0,53.88,19591015,1,0,서울특별시 서대문구 창천동 3번지
11410,11600,0,0004,0001,,,일반건축물,제2종근린생활시설,근린생활시설,201.7,110.41,554.95,19780208,5,1,서울특별시 서대문구 창천동 4-1번지
11410,11600,0,0004,0007,그린힐,,일반건축물,단독주택,다가구주택 및 근린생활시설,340.5,202.05,1152.54,19981026,5,1,서울특별시 서대문구 창천동 4-7번지
11410,11600,0,0004,0014,,,표제부,공동주택,제2종근생및다세대주택,240,141.88,526.75,20040903,4,1,서울특별시 서대문구 창천동 4-14번지
11410,11600,0,0004,0015,,,표제부,공동주택,근린생활시설및주택,0,0,241.16,19880504,3,1,서울특별시 서대문구 창천동 4-15번지
11410,11600,0,0004,0016,,,일반건축물,단독주택,주택및근린생활시설,247.6,0,418.59,19841020,3,1,서울특별시 서대문구 창천동 4-16번지
11410,11600,0,0004,0017,,,일반건축물,제1종근린생활시설,근린생활시설및단독주택,339.8,202.98,1063.32,19941125,4,1,서울특별시 서대문구 창천동 4-17번지
11410,11600,0,0004,0018,힐하우스,,일반건축물,제2종근린생활시설,단독주택,275.87,163.93,897.44,20100823,5,2,서울특별시 서대문구 창천동 4-18번지
11410,11600,0,0004,0019,,,일반건축물,제2종근린생활시설,고시원 및 단독주택,243,123.52,748.66,20100707,5,2,서울특별시 서대문구 창천동 4-19번지
11410,11600,0,0004,0020,,,일반건축물,교육연구시설,"교육연구시설, 단독주택",462.1,279.32,2236.57,20011207,5,3,서울특별시 서대문구 창천동 4-20번지
11410,11600,0,0004,0021,,,일반건축물,단독주택,근린생활시설및주택,330.17,163.2,800.81,19921123,4,1,서울특별시 서대문구 창천동 4-21번지
11410,11600,0,0004,0022,PLACE422,,표제부,공동주택,공동주택(다세대주택),266.11,158.36,680.18,20250310,4,1,서울특별시 서대문구 창천동 4-22번지
11410,11600,0,0004,0023,,,일반건축물,단독주택,주택,0,0,201,19871116,2,1,서울특별시 서대문구 창천동 4-23번지
11410,11600,0,0004,0025,,,표제부,공동주택,다세대주택,0,0,192.06,19870710,2,1,서울특별시 서대문구 창천동 4-25번지
11410,11600,0,0004,0026,,,표제부,공동주택,다세대주택(7세대),0,0,387.5,19910608,3,1,서울특별시 서대문구 창천동 4-26번지
11410,11600,0,0004,0027,서나빌딩,,일반건축물,제2종근린생활시설,제2종근린생활시설,241.32,144.53,813.44,20050204,4,2,서울특별시 서대문구 창천동 4-27번지
11410,11600,0,0004,0028,,,일반건축물,단독주택,주택,0,0,223.87,19680712,2,1,서울특별시 서대문구 창천동 4-28번지
11410,11600,0,0004,0029,,,표제부,공동주택,다세대주택(9세대),286.9,161.04,650.04,19920213,4,1,서울특별시 서대문구 창천동 4-29번지
11410,11600,0,0004,0030,,,표제부,공동주택,다세대주택,0,0,514.6,19910510,3,1,서울특별시 서대문구 창천동 4-30번지
11410,11600,0,0004,0034,,,표제부,공동주택,다세대주택(9세대),0,0,484.74,19911012,4,1,서울특별시 서대문구 창천동 4-34번지
11410,11600,0,0004,0037,,,일반건축물,제1종근린생활시설,근린생활및단독주택,313.8,187.8,1152.4,19930224,6,1,서울특별시 서대문구 창천동 4-37번지
11410,11600,0,0004,0038,,,일반건축물,단독주택,근린생활및주택,206.6,122.85,657.62,19950608,4,2,서울특별시 서대문구 창천동 4-38번지
11410,11600,0,0004,0043,,,표제부,공동주택,다세대주택,0,0,297.39,19860221,3,2,서울특별시 서대문구 창천동 4-43번지
11410,11600,0,0004,0044,,,일반건축물,제2종근린생활시설,교육연구및단독주택,226.5,133.12,837.4,20021202,5,2,서울특별시 서대문구 창천동 4-44번지
11410,11600,0,0004,0046,,,표제부,공동주택,주택,0,0,401.34,19820929,3,1,서울특별시 서대문구 창천동 4-46번지
11410,11600,0,0004,0047,,,일반건축물,교육연구시설,교육연구및복지시설/다가구주택,331.9,189.06,1512.48,20040127,7,1,서울특별시 서대문구 창천동 4-47번지
11410,11600,0,0004,0050,,,일반건축물,단독주택,주택,0,0,287.49,19740108,3,1,서울특별시 서대문구 창천동 4-50번지
11410,11600,0,0004,0051,,,일반건축물,단독주택,다가구용단독주택,129.5,77.22,323.7,19970910,3,1,서울특별시 서대문구 창천동 4-51번지
11410,11600,0,0004,0053,,,일반건축물,단독주택,다가구용단독주택,138.8,82.86,336.48,19931209,3,2,서울특별시 서대문구 창천동 4-53번지
11410,11600,0,0004,0061,캠퍼스타운 에스큐브,,일반건축물,제2종근린생활시설,제2종근린생활시설 및 제1종근린생활시설,332.3,178.26,627.78,19850111,4,0,서울특별시 서대문구 창천동 4-61번지
11410,11600,0,0004,0063,신촌동자치회관,,일반건축물,제1종근린생활시설,지역자치센터(자치회관),581.8,186.7,461.1,19960921,3,1,서울특별시 서대문구 창천동 4-63번지
11410,11600,0,0004,0065,,,일반건축물,단독주택,주택,0,0,174.64,19721124,2,1,서울특별시 서대문구 창천동 4-65번지
11410,11600,0,0004,0066,,,표제부,공동주택,다세대주택,165.5,0,327.24,19851028,3,1,서울특별시 서대문구 창천동 4-66번지
11410,11600,0,0004,0067,,,표제부,공동주택,주택,0,0,239.37,19830510,3,1,서울특별시 서대문구 창천동 4-67번지
11410,11600,0,0004,0069,베스트빌A동,,일반건축물,제2종근린생활시설,제2종근린생활시설(독서실) 및 다가구주택,165.03,98.6,493,20080702,3,2,서울특별시 서대문구 창천동 4-69번지
11410,11600,0,0004,0070,,,표제부,공동주택,주택,0,0,414.88,19820731,3,1,서울특별시 서대문구 창천동 4-70번지
11410,11600,0,0004,0072,,,표제부,공동주택,주택,0,0,321.75,19830510,3,1,서울특별시 서대문구 창천동 4-72번지
11410,11600,0,0004,0077,,,일반건축물,제2종근린생활시설,근린생활시설및교육연구시설및단독주택,445.6,264.13,1267.47,19771122,5,0,서울특별시 서대문구 창천동 4-77번지
11410,11600,0,0004,0080,,,일반건축물,제2종근린생활시설,제2종근생/단독주택,223.1,131.32,742.01,20040930,6,2,서울특별시 서대문구 창천동 4-80번지
11410,11600,0,0004,0081,이연,,일반건축물,단독주택,공동주택(기숙사),223.1,133.37,677.73,20000907,5,1,서울특별시 서대문구 창천동 4-81번지
11410,11600,0,0004,0082,,,일반건축물,단독주택,다가구용단독주택,148.1,88.36,382.27,19970813,3,1,서울특별시 서대문구 창천동 4-82번지
11410,11600,0,0004,0083,,,일반건축물,단독주택,다가구용단독주택,148.1,87.48,324,19960827,3,1,서울특별시 서대문구 창천동 4-83번지
11410,11600,0,0004,0084,,,일반건축물,제2종근린생활시설,제2종근린생활시설및주택,138.2,82.33,553.57,19980930,4,3,서울특별시 서대문구 창천동 4-84번지
11410,11600,0,0004,0085,,,일반건축물,단독주택,다가구용단독주택,176.5,100.38,425.76,19961115,3,1,서울특별시 서대문구 창천동 4-85번지
11410,11600,0,0004,0086,,,일반건축물,단독주택,다가구용단독주택,178.8,106.38,452.47,19940726,3,1,서울특별시 서대문구 창천동 4-86번지
11410,11600,0,0004,0089,,,일반건축물,단독주택,다가구용단독주택,180.8,100.8,448.02,19951031,3,1,서울특별시 서대문구 창천동 4-89번지
11410,11600,0,0004,0090,,,일반건축물,단독주택,다가구용단독주택,180.8,108.03,462.03,19961120,3,1,서울특별시 서대문구 창천동 4-90번지
11410,11600,0,0004,0092,,,일반건축물,제1종근린생활시설,근린생활시설및단독주택,201.7,100.64,526.89,19930910,4,1,서울특별시 서대문구 창천동 4-92번지
11410,11600,0,0004,0093,,,일반건축물,단독주택,다가구용단독주택,166.3,97.44,379.56,19940726,3,1,서울특별시 서대문구 창천동 4-93번지
11410,11600,0,0004,0094,,,일반건축물,제1종근린생활시설,근린생활시설,0,0,360.15,19770422,4,0,서울특별시 서대문구 창천동 4-94번지
11410,11600,0,0004,0096,,,일반건축물,제2종근린생활시설,주택및제2종근린생활시설,359.3,209.06,671.96,19770616,4,0,서울특별시 서대문구 창천동 4-96번지
11410,11600,0,0004,0097,,,일반건축물,단독주택,다가구용단독주택(15가구),179.5,107.36,462.38,19950928,3,1,서울특별시 서대문구 창천동 4-97번지
11410,11600,0,0004,0098,,,일반건축물,단독주택,다가구용단독주택,179.5,107.36,462.38,19960823,3,1,서울특별시 서대문구 창천동 4-98번지
11410,11600,0,0004,0101,,,표제부,공동주택,제2종근린생활시설 및 도시형생활주택(원룸형다세대),165.3,93.6,604.9,20110905,6,2,서울특별시 서대문구 창천동 4-101번지
