sigunguCd,bjdongCd,platGbCd,bun,ji,bldNm,splotNm,regstrKindCdNm,mainPurpsCdNm,etcPurps,platArea,archArea,totArea,useAprDay,grndFlrCnt,ugrndFlrCnt,platPlc
11545,10100,0,0004,0006,,,일반건축물,제1종근린생활시설,"주택, 근린생활시설, 위험물판매취급소",0,90.28,180.56,19691226,2,0,서울특별시 금천구 가산동 4-6번지
11545,10100,0,0004,0007,,,일반건축물,단독주택,주택,138.77,33.24,33.24,20010503,1,0,서울특별시 금천구 가산동 4-7번지
11545,10100,0,0004,0009,,,일반건축물,단독주택,"주택, 근린생활시설",0,69.3,277.2,19920703,3,1,서울특별시 금천구 가산동 4-9번지
11545,10100,0,0004,0009,,,일반건축물,단독주택,주택,0,66.21,66.21,19691115,1,0,서울특별시 금천구 가산동 4-9번지
11545,10100,0,0004,0013,,,일반건축물,단독주택,"근린생활시설, 다가구주택",92,49.73,198.92,19921125,4,0,서울특별시 금천구 가산동 4-13번지
11545,10100,0,0004,0022,,,일반건축물,제1종근린생활시설,근린생활시설,0,105.55,105.55,19700920,1,0,서울특별시 금천구 가산동 4-22번지
11545,10100,0,0004,0023,,,일반건축물,단독주택,"근린생활시설, 주택",138,69.67,215.37,19921103,2,1,서울특별시 금천구 가산동 4-23번지
11545,10100,0,0005,0011,,,일반건축물,단독주택,다가구용단독주택(3가구),0,65.88,197.64,19910920,2,1,서울특별시 금천구 가산동 5-11번지
11545,10100,0,0005,0014,,,일반건축물,단독주택,다가구주택(3가구),0,40.08,120.24,19920821,2,1,서울특별시 금천구 가산동 5-14번지
11545,10100,0,0005,0019,,,일반건축물,단독주택,주택,0,45.22,45.22,19691211,1,0,서울특별시 금천구 가산동 5-19번지
11545,10100,0,0005,0021,,,일반건축물,단독주택,"제2종근린생활시설, 단독주택",88.9,53.57,104.89,19970730,2,0,서울특별시 금천구 가산동 5-21번지
