sigunguCd,bjdongCd,platGbCd,bun,ji,bldNm,splotNm,regstrKindCdNm,mainPurpsCdNm,etcPurps,platArea,archArea,totArea,useAprDay,grndFlrCnt,ugrndFlrCnt,platPlc
11140,16500,0,0001,0000,,,일반건축물,제1종근린생활시설,근린생활시설,180.9,119.87,614.39,19870730,4,1,서울특별시 중구 황학동 1번지
11140,16500,0,0003,0000,,,일반건축물,제1종근린생활시설,"근린생활시설, 주택",92.6,56.34,211.08,19870615,3,1,서울특별시 중구 황학동 3번지
11140,16500,0,0004,0000,,,일반건축물,제2종근린생활시설,근린생활시설,87.9,61.88,201.8,19870709,3,1,서울특별시 중구 황학동 4번지
11140,16500,0,0005,0000,,,일반건축물,제1종근린생활시설,"근린생활시설, 사무실, 점포",0,0,120.32,,2,0,서울특별시 중구 황학동 5번지
11140,16500,0,0006,0000,,,일반건축물,제1종근린생활시설,,148.5,88.95,88.95,20000608,1,0,서울특별시 중구 황학동 6번지
11140,16500,0,0007,0002,,,일반건축물,제1종근린생활시설,"근린생활시설, 주택",141.2,84.45,386.03,19851125,4,1,서울특별시 중구 황학동 7-2번지
11140,16500,0,0008,0000,,,일반건축물,단독주택,주택,0,0,102.94,19600710,2,0,서울특별시 중구 황학동 8번지
11140,16500,0,0008,0000,,,일반건축물,단독주택,"주택, 점포",0,0,289.54,19761231,3,1,서울특별시 중구 황학동 8번지
11140,16500,0,0009,0000,,,일반건축물,제2종근린생활시설,제2종근린생활시설,193.1,114.95,1154.24,20120516,10,1,서울특별시 중구 황학동 9번지
11140,16500,0,0010,0001,,,일반건축물,단독주택,"주택, 점포",0,0,79.2,19730801,1,0,서울특별시 중구 황학동 10-1번지
11140,16500,0,0014,0001,,,일반건축물,제1종근린생활시설,"근린생활시설, 주택",80.3,62.56,187.68,19860724,3,1,서울특별시 중구 황학동 14-1번지
11140,16500,0,0015,0000,,,일반건축물,제1종근린생활시설,제1종근린생활시설(소매점),0,0,32.96,19560711,1,0,서울특별시 중구 황학동 15번지
