sigunguCd,bjdongCd,platGbCd,bun,ji,bldNm,splotNm,regstrKindCdNm,mainPurpsCdNm,etcPurps,platArea,archArea,totArea,useAprDay,grndFlrCnt,ugrndFlrCnt,platPlc
11500,10400,0,0014,0003,가양우성아파트,,표제부,제1종근린생활시설,"근린생활시설, 판매시설",0,332.34,1493.23,19901030,3,1,서울특별시 강서구 가양동 14-3번지
11500,10400,0,0014,0003,가양우성아파트,,표제부,공동주택,"아파트, 관리및노인실, 기계실및전화교환실",0,767.76,11663.44,19901030,15,1,서울특별시 강서구 가양동 14-3번지
11500,10400,0,0014,0003,가양우성아파트,,표제부,공동주택,"아파트, 관리및 노인실, 기계실및전화교환실",0,599.46,9132.66,19901030,15,1,서울특별시 강서구 가양동 14-3번지
11500,10400,0,0014,0003,가양우성아파트,,표제부,공동주택,"아파트, 관리및노인실, 기계실및전화교환실",0,599.46,9132.66,19901030,15,1,서울특별시 강서구 가양동 14-3번지
11500,10400,0,0014,0003,가양우성아파트,,표제부,공동주택,관리및노인정,0,1147.06,1147.06,19901030,1,0,서울특별시 강서구 가양동 14-3번지
11500,10400,0,0014,0003,가양우성아파트,,표제부,공동주택,기계실및전화교환실,0,705.04,1410.08,19901030,1,1,서울특별시 강서구 가양동 14-3번지
11500,10400,0,0014,0003,가양우성아파트,,표제부,공동주택,"아파트, 관리및노인실, 기계실및전화교환실",0,807.2,12297,19901030,15,1,서울특별시 강서구 가양동 14-3번지
11500,10400,0,0014,0051,토피아빌딩,,표제부,제2종근린생활시설,"근린생활시설, 교육연구시설",642,349.13,3112.79,20060721,8,2,서울특별시 강서구 가양동 14-51번지
11500,10400,0,0018,0024,홈플러스 가양점,,일반건축물,판매시설,"판매시설, 영업시설, 근린생활시설, 운동시설",11403,6722.21,45095.36,20001010,3,3,서울특별시 강서구 가양동 18-24번지
11500,10400,0,0026,0001,박물관주유소,,일반건축물,위험물저장및처리시설,"제1,2종근린생활시설 및 위험물저장및처리시설",631,344.41,636.82,20081020,3,0,서울특별시 강서구 가양동 26-1번지
11500,10400,0,0026,0005,허준박물관,,일반건축물,문화및집회시설,문화및집회시설,3075,1793.95,3934.61,20050202,3,0,서울특별시 강서구 가양동 26-5번지
11500,10400,0,0026,0027,대한 한의학연구소 및 회관,,일반건축물,교육연구시설,"교육연구및복지시설,연구소",4047.5,1150.47,6936.73,20050509,5,1,서울특별시 강서구 가양동 26-27번지
11500,10400,0,0027,0001,,,일반건축물,제1종근린생활시설,"제1,2종근린생활시설",499,298.3,1355.42,20131219,5,0,서울특별시 강서구 가양동 27-1번지
11500,10400,0,0030,0001,,,일반건축물,제2종근린생활시설,"제2종근린생활시설, 자동차관련시설(세차장),자동차관련시설(매매장)",2567,1472.58,2453.66,20131104,1,1,서울특별시 강서구 가양동 30-1번지
11500,10400,0,0030,0010,,,일반건축물,자동차관련시설,자동차관련시설(주차장전용건물),2294,1733.59,7755.34,19730720,5,0,서울특별시 강서구 가양동 30-10번지
11500,10400,0,0033,0005,,,일반건축물,제2종근린생활시설,근린생활시설(수리점),352.12,86.3,122.3,19970923,2,0,서울특별시 강서구 가양동 33-5번지
11500,10400,0,0033,0006,,,일반건축물,종교시설,종교시설 및 주택,631,227.97,654.03,19990526,3,1,서울특별시 강서구 가양동 33-6번지
11500,10400,0,0050,0005,서서울모터리움,,표제부,자동차관련시설,"자동차관련시설(매매장)제1,2종근린생활시설",7470.4,3958.11,74931.95,20131223,13,5,서울특별시 강서구 가양동 50-5번지
11500,10400,0,0058,0002,,,일반건축물,위험물저장및처리시설,"위험물저장 및 처리시설(주유소,사무소)",882,431.1,730.21,19930817,3,1,서울특별시 강서구 가양동 58-2번지
11500,10400,0,0104,0002,,,일반건축물,단독주택,주택,0,93.2,93.2,19850629,1,0,서울특별시 강서구 가양동 104-2번지
