sigunguCd,bjdongCd,platGbCd,bun,ji,bldNm,splotNm,regstrKindCdNm,mainPurpsCdNm,etcPurps,platArea,archArea,totArea,useAprDay,grndFlrCnt,ugrndFlrCnt,platPlc
11110,16200,0,0001,0000,,,일반건축물,제1종근린생활시설,근린생활시설,124.2,72.89,276.76,19951227,3,1,서울특별시 종로구 효제동 1번지
11110,16200,0,0002,0000,,,일반건축물,단독주택,주택,0,0,191.11,19660708,2,1,서울특별시 종로구 효제동 2번지
11110,16200,0,0003,0001,,,일반건축물,제2종근린생활시설,근린생활시설,54.61,39.33,187.14,19980615,4,1,서울특별시 종로구 효제동 3-1번지
11110,16200,0,0010,0000,,,일반건축물,제2종근린생활시설,근린생활시설,186,100.76,577.29,19911231,5,1,서울특별시 종로구 효제동 10번지
11110,16200,0,0011,0000,,,일반건축물,단독주택,주택,0,0,20.93,,1,0,서울특별시 종로구 효제동 11번지
11110,16200,0,0013,0000,,,일반건축물,제2종근린생활시설,제2종근린생활시설,155.4,90.66,388.83,19950929,4,1,서울특별시 종로구 효제동 13번지
11110,16200,0,0014,0000,,,일반건축물,단독주택,"점포, 사무실, 주택",0,0,343.57,19811226,4,1,서울특별시 종로구 효제동 14번지
11110,16200,0,0015,0001,,,일반건축물,제2종근린생활시설,근린생활시설,153.74,91.56,561.73,19951122,6,1,서울특별시 종로구 효제동 15-1번지
11110,16200,0,0016,0001,,,일반건축물,제1종근린생활시설,제1종근린생활시설(소매점),0,0,41.13,,1,0,서울특별시 종로구 효제동 16-1번지
11110,16200,0,0016,0002,,,일반건축물,제2종근린생활시설,근린생활시설,0,0,50.05,,1,0,서울특별시 종로구 효제동 16-2번지
11110,16200,0,0019,0001,플러스 빌딩,,일반건축물,제2종근린생활시설,근린생활시설,343.8,153.29,761.84,,4,1,서울특별시 종로구 효제동 19-1번지
11110,16200,0,0019,0003,,,일반건축물,제2종근린생활시설,제2종근린생활시설,99.2,58.92,253.8,20111014,5,0,서울특별시 종로구 효제동 19-3번지
11110,16200,0,0019,0004,,,일반건축물,업무시설,업무시설,191.5,95.32,1028.06,20200102,10,1,서울특별시 종로구 효제동 19-4번지
11110,16200,0,0020,0000,,,일반건축물,업무시설,"근린생활시설, 교육연구시설, 업무시설",541.62,240.55,3226.29,19940909,10,3,서울특별시 종로구 효제동 20번지
11110,16200,0,0021,0010,,,일반건축물,제1종근린생활시설,영업용,0,0,54.55,19680723,0,1,서울특별시 종로구 효제동 21-10번지
11110,16200,0,0022,0003,,,일반건축물,문화및집회시설,문화집회시설,0,0,101.65,19601030,0,1,서울특별시 종로구 효제동 22-3번지
11110,16200,0,0027,0001,,,일반건축물,제1종근린생활시설,영업용,0,0,82.65,,2,0,서울특별시 종로구 효제동 27-1번지
11110,16200,0,0027,0005,,,일반건축물,제2종근린생활시설,영업용,0,0,82.65,,2,0,서울특별시 종로구 효제동 27-5번지
11110,16200,0,0028,0000,,,일반건축물,단독주택,주택,0,0,67.48,,2,0,서울특별시 종로구 효제동 28번지
11110,16200,0,0028,0002,,,일반건축물,제2종근린생활시설,"근린생활시설,주택",0,0,20.66,,1,0,서울특별시 종로구 효제동 28-2번지
11110,16200,0,0045,0000,반도 보라 아이비 타워,,표제부,업무시설,"업무시설,오피스텔, 근린생활시설",1323.44,781.6,8146.58,20031031,12,2,서울특별시 종로구 효제동 45번지
11110,16200,0,0046,0000,,,일반건축물,제2종근린생활시설,근린생활시설,0,0,39.67,,1,0,서울특별시 종로구 효제동 46번지
11110,16200,0,0047,0000,,,일반건축물,단독주택,주택,0,0,17.45,19490716,1,0,서울특별시 종로구 효제동 47번지
11110,16200,0,0048,0000,,,일반건축물,제2종근린생활시설,제2종근린생활시설,138.74,89.98,428.99,19940519,4,1,서울특별시 종로구 효제동 48번지
11110,16200,0,0051,0003,,,일반건축물,제2종근린생활시설,근린생활시설,105.46,0,284.49,19900915,4,1,서울특별시 종로구 효제동 51-3번지
11110,16200,0,0052,0000,해와가,,일반건축물,숙박시설,생활숙박시설,98.1,58.48,386.58,20210503,6,1,서울특별시 종로구 효제동 52번지
11110,16200,0,0054,0002,,,일반건축물,업무시설,"업무시설, 종교시설",497.24,276.02,2180.44,19981128,5,3,서울특별시 종로구 효제동 54-2번지
11110,16200,0,0061,0001,,,일반건축물,단독주택,주택,78,67.09,243.67,19701125,4,1,서울특별시 종로구 효제동 61-1번지
11110,16200,0,0061,0003,,,일반건축물,단독주택,"주택, 근린생활시설",92.2,54.46,306.2,19940311,5,1,서울특별시 종로구 효제동 61-3번지
11110,16200,0,0062,0004,,,일반건축물,제2종근린생활시설,제2종근린생활시설,76.5,36.36,36.36,19590220,1,0,서울특별시 종로구 효제동 62-4번지
11110,16200,0,0064,0001,,,일반건축물,제2종근린생활시설,"동사무소, 제2종근린생활시설(사무소)",0,0,438.64,19771215,4,1,서울특별시 종로구 효제동 64-1번지
11110,16200,0,0064,0002,효제동 64-2 제2종근린생활시설 (김봉길),,일반건축물,제2종근린생활시설,근린생활시설,313.05,184.95,1262.43,19961015,5,2,서울특별시 종로구 효제동 64-2번지
11110,16200,0,0064,0004,,,일반건축물,제2종근린생활시설,제2종근린생활시설(일반음식점),0,0,49.59,,1,0,서울특별시 종로구 효제동 64-4번지
11110,16200,0,0064,0006,,,일반건축물,제1종근린생활시설,"근린생활시설, 주택",0,0,264.84,19861112,4,1,서울특별시 종로구 효제동 64-6번지
11110,16200,0,0065,0002,포레스트힐시티,,표제부,공동주택,"도시형생활주택,오피스텔,근린생활시설",1014.3,607.12,6966.6827,20170120,14,3,서울특별시 종로구 효제동 65-2번지
11110,16200,0,0069,0001,,,일반건축물,단독주택,"주택, 점포",0,0,19.52,19480429,1,0,서울특별시 종로구 효제동 69-1번지
11110,16200,0,0069,0004,,,일반건축물,제2종근린생활시설,"근린생활시설, 차고",0,0,248.13,19601220,2,0,서울특별시 종로구 효제동 69-4번지
11110,16200,0,0069,0007,,,일반건축물,제1종근린생활시설,점포,0,0,108.76,19591001,2,0,서울특별시 종로구 효제동 69-7번지
11110,16200,0,0072,0000,,,일반건축물,단독주택,주택,0,0,42.98,,1,0,서울특별시 종로구 효제동 72번지
11110,16200,0,0073,0000,,,일반건축물,단독주택,다가구주택,168.6,88.15,196.88,19740718,3,1,서울특별시 종로구 효제동 73번지
11110,16200,0,0075,0000,,,일반건축물,제2종근린생활시설,근린생활시설,134.47,90.63,488.25,19970419,5,1,서울특별시 종로구 효제동 75번지
11110,16200,0,0076,0002,,,일반건축물,단독주택,주택,0,0,100.93,19720310,2,1,서울특별시 종로구 효제동 76-2번지
11110,16200,0,0077,0000,,,일반건축물,제2종근린생활시설,제1종근린생활시설,646.19,361.49,673.5,20111125,2,0,서울특별시 종로구 효제동 77번지
11110,16200,0,0090,0001,,,일반건축물,제2종근린생활시설,근린생활시설,0,0,17.52,,1,0,서울특별시 종로구 효제동 90-1번지
11110,16200,0,0098,0002,효제동 98-2번지 일대 사회복지시설,,일반건축물,노유자시설,노유자시설(사회복지시설),351,175.21,762.11,20260430,5,0,서울특별시 종로구 효제동 98-2번지
11110,16200,0,0100,0010,,,일반건축물,창고시설,창고,0,0,42.98,,1,0,서울특별시 종로구 효제동 100-10번지
11110,16200,0,0100,0011,,,일반건축물,제2종근린생활시설,근린생활시설,118.3,82.14,492.84,19970103,5,1,서울특별시 종로구 효제동 100-11번지
11110,16200,0,0100,0013,,,일반건축물,제1종근린생활시설,제1종근린생활시설,187,112,304.5,20090602,3,0,서울특별시 종로구 효제동 100-13번지
11110,16200,0,0100,0017,,,일반건축물,제1종근린생활시설,제1종근린생활시설,0,0,102.48,,1,1,서울특별시 종로구 효제동 100-17번지
11110,16200,0,0101,0000,,,일반건축물,제2종근린생활시설,"근린생활시설, 주택",208.3,119.52,664.42,19960816,5,1,서울특별시 종로구 효제동 101번지
11110,16200,0,0102,0000,,,일반건축물,제1종근린생활시설,영업용,0,0,87.99,,2,0,서울특별시 종로구 효제동 102번지
11110,16200,0,0103,0000,,,일반건축물,제1종근린생활시설,"근린생활시설, 주택",0,0,432.37,,5,1,서울특별시 종로구 효제동 103번지
11110,16200,0,0105,0001,,,일반건축물,제1종근린생활시설,영업용,0,0,152.79,19690401,4,1,서울특별시 종로구 효제동 105-1번지
11110,16200,0,0105,0002,,,일반건축물,제2종근린생활시설,근린생활시설,155.26,94.79,527.08,19961029,5,1,서울특별시 종로구 효제동 105-2번지
11110,16200,0,0105,0005,,,일반건축물,단독주택,"주택, 근린생활시설",0,0,337.47,19760625,4,1,서울특별시 종로구 효제동 105-5번지
11110,16200,0,0105,0006,,,일반건축물,제1종근린생활시설,"근린생활시설,주택",0,0,305,,4,1,서울특별시 종로구 효제동 105-6번지
11110,16200,0,0105,0009,,,일반건축물,단독주택,주택,0,0,42.98,,1,0,서울특별시 종로구 효제동 105-9번지
11110,16200,0,0105,0010,,,일반건축물,단독주택,주택,0,0,49.59,,1,0,서울특별시 종로구 효제동 105-10번지
11110,16200,0,0123,0000,,,일반건축물,제1종근린생활시설,영업용,0,0,75.97,19670724,3,0,서울특별시 종로구 효제동 123번지
11110,16200,0,0124,0002,,,일반건축물,제1종근린생활시설,영업용,0,0,218.33,19680702,4,0,서울특별시 종로구 효제동 124-2번지
11110,16200,0,0125,0002,,,일반건축물,제1종근린생활시설,"영업용, 근린생활시설",0,0,263.33,19680822,4,0,서울특별시 종로구 효제동 125-2번지
11110,16200,0,0126,0002,이지마루종로,,표제부,공동주택,"아파트,근린생활시설,오피스텔",729.2,196.58,2162.66,20210826,15,2,서울특별시 종로구 효제동 126-2번지
11110,16200,0,0126,0002,이지마루종로,,표제부,공동주택,"아파트,근린생활시설,오피스텔",729.2,194.01,2707.89,20210826,16,2,서울특별시 종로구 효제동 126-2번지
11110,16200,0,0133,0002,,,일반건축물,제2종근린생활시설,제2종근린생활시설,76.9,61.64,233.27,,4,1,서울특별시 종로구 효제동 133-2번지
11110,16200,0,0133,0003,,,일반건축물,제2종근린생활시설,"점포, 근린생활시설",0,0,370.24,,2,0,서울특별시 종로구 효제동 133-3번지
