sigunguCd,bjdongCd,platGbCd,bun,ji,bldNm,splotNm,regstrKindCdNm,mainPurpsCdNm,etcPurps,platArea,archArea,totArea,useAprDay,grndFlrCnt,ugrndFlrCnt,platPlc
11110,16400,0,0001,0011,,,일반건축물,단독주택,주택,0,0,131.97,19681223,1,1,서울특별시 종로구 종로6가 1-11번지
11110,16400,0,0001,0012,,,일반건축물,단독주택,다가구용단독주택(2가구),53.78,32.37,64.74,19960814,1,1,서울특별시 종로구 종로6가 1-12번지
11110,16400,0,0001,0014,,,일반건축물,단독주택,주택,0,0,121.36,19840817,2,1,서울특별시 종로구 종로6가 1-14번지
11110,16400,0,0001,0015,,,일반건축물,단독주택,주택,0,0,24.6,,1,0,서울특별시 종로구 종로6가 1-15번지
11110,16400,0,0001,0022,,,일반건축물,단독주택,단독주택,55.9,47.84,64.71,19650710,2,0,서울특별시 종로구 종로6가 1-22번지
11110,16400,0,0001,0028,,,일반건축물,단독주택,주택,0,0,27.92,,1,0,서울특별시 종로구 종로6가 1-28번지
11110,16400,0,0001,0029,,,일반건축물,단독주택,주택,0,0,27.92,,1,0,서울특별시 종로구 종로6가 1-29번지
11110,16400,0,0001,0030,,,일반건축물,단독주택,주택,0,0,27.9,,1,0,서울특별시 종로구 종로6가 1-30번지
11110,16400,0,0001,0032,,,일반건축물,단독주택,주택,0,0,23.14,,1,0,서울특별시 종로구 종로6가 1-32번지
11110,16400,0,0001,0037,,,일반건축물,단독주택,주택,0,0,27.6,,1,0,서울특별시 종로구 종로6가 1-37번지
11110,16400,0,0001,0042,,,일반건축물,단독주택,주택,0,0,16.53,,1,0,서울특별시 종로구 종로6가 1-42번지
11110,16400,0,0001,0044,,,일반건축물,단독주택,주택,35.4,25.2,25.2,19571026,1,0,서울특별시 종로구 종로6가 1-44번지
11110,16400,0,0001,0048,,,일반건축물,단독주택,주택,0,0,16.53,,1,0,서울특별시 종로구 종로6가 1-48번지
11110,16400,0,0001,0051,,,일반건축물,단독주택,주택,59.5,40,40,,1,0,서울특별시 종로구 종로6가 1-51번지
11110,16400,0,0001,0053,,,일반건축물,단독주택,다가구용단독주택(4가구),66.1,39.51,148.71,19930225,3,1,서울특별시 종로구 종로6가 1-53번지
11110,16400,0,0001,0054,,,일반건축물,단독주택,다가구주택(2가구),48.53,37.81,73.26,,2,0,서울특별시 종로구 종로6가 1-54번지
11110,16400,0,0001,0055,,,일반건축물,단독주택,주택,0,0,29.43,,1,0,서울특별시 종로구 종로6가 1-55번지
11110,16400,0,0001,0056,,,일반건축물,단독주택,주택,0,0,25.45,,1,0,서울특별시 종로구 종로6가 1-56번지
11110,16400,0,0007,0000,,,표제부,제1종근린생활시설,"근린생활시설, 다세대주택",0,0,227.76,19860705,3,1,서울특별시 종로구 종로6가 7번지
11110,16400,0,0008,0000,종로 센트라노,,표제부,공동주택,도시형생활주택(단지형다세대),346.97,202.44,647.9,20260514,5,0,서울특별시 종로구 종로6가 8번지
11110,16400,0,0009,0000,,,일반건축물,단독주택,주택,0,0,143.1,19900427,2,1,서울특별시 종로구 종로6가 9번지
11110,16400,0,0011,0001,중앙성결교회,,일반건축물,자동차관련시설,부설주차장,0,692.09,2775.97,19990330,3,1,서울특별시 종로구 종로6가 11-1번지
11110,16400,0,0011,0001,중앙성결교회,,일반건축물,종교시설,종교시설(교회),0,1101.45,4209.19,19811124,5,1,서울특별시 종로구 종로6가 11-1번지
11110,16400,0,0011,0001,중앙성결교회,,일반건축물,종교시설,종교시설(교육관),3570.99,335.26,1788.94,19990330,6,1,서울특별시 종로구 종로6가 11-1번지
11110,16400,0,0011,0001,,,일반건축물,단독주택,주택,0,0,52.89,,1,0,서울특별시 종로구 종로6가 11-1번지
11110,16400,0,0011,0004,,,표제부,제2종근린생활시설,"제2종근린생활시설,단독주택",229.4,124.26,606.39,20040511,4,1,서울특별시 종로구 종로6가 11-4번지
11110,16400,0,0011,0009,,,일반건축물,단독주택,다가구용단독주택(3가구),128.9,58.42,153.73,19941219,3,1,서울특별시 종로구 종로6가 11-9번지
11110,16400,0,0011,0011,,,일반건축물,제1종근린생활시설,"근린생활시설, 주택",299.67,0,778.13,19901110,4,1,서울특별시 종로구 종로6가 11-11번지
11110,16400,0,0011,0012,,,일반건축물,단독주택,주택,0,0,142.03,19851021,3,1,서울특별시 종로구 종로6가 11-12번지
11110,16400,0,0011,0015,,,일반건축물,제1종근린생활시설,"근린생활시설,주택",0,0,213.71,19850723,3,1,서울특별시 종로구 종로6가 11-15번지
11110,16400,0,0011,0017,,,일반건축물,창고시설,창고시설,89.3,53.55,53.55,20061107,1,0,서울특별시 종로구 종로6가 11-17번지
11110,16400,0,0011,0021,,,일반건축물,단독주택,주택,0,0,46.28,,1,0,서울특별시 종로구 종로6가 11-21번지
11110,16400,0,0011,0022,,,일반건축물,단독주택,"다가구주택,창고",141.6,84.68,329.99,20020917,3,1,서울특별시 종로구 종로6가 11-22번지
11110,16400,0,0011,0023,,,일반건축물,단독주택,"주택,근린생활시설",0,0,245.8,19891206,2,1,서울특별시 종로구 종로6가 11-23번지
11110,16400,0,0011,0024,,,일반건축물,제2종근린생활시설,제2종근린생활시설,89.3,51.3,180.79,19871228,3,1,서울특별시 종로구 종로6가 11-24번지
11110,16400,0,0012,0001,,,일반건축물,단독주택,주택,0,0,150.23,19880217,2,1,서울특별시 종로구 종로6가 12-1번지
11110,16400,0,0012,0002,,,일반건축물,단독주택,"근린생활시설, 주택",166.9,85.28,517.7,19951229,5,2,서울특별시 종로구 종로6가 12-2번지
11110,16400,0,0012,0006,,,일반건축물,단독주택,다가구용단독주택(8가구),191.7,111.27,417.9,19931125,3,1,서울특별시 종로구 종로6가 12-6번지
11110,16400,0,0012,0009,대광빌딩,,일반건축물,제2종근린생활시설,"근린생활시설, 주택",165,104.45,563.43,19890607,5,1,서울특별시 종로구 종로6가 12-9번지
11110,16400,0,0012,0017,,,일반건축물,단독주택,다가구주택(7가구),234.7,138.28,538.16,19971222,3,1,서울특별시 종로구 종로6가 12-17번지
11110,16400,0,0012,0023,,,일반건축물,단독주택,주택,0,0,33.06,,1,0,서울특별시 종로구 종로6가 12-23번지
11110,16400,0,0012,0024,,,일반건축물,제2종근린생활시설,"주택, 근린생활시설",0,0,375.4,19811215,4,1,서울특별시 종로구 종로6가 12-24번지
11110,16400,0,0012,0025,,,일반건축물,단독주택,주택,0,0,76.03,,1,0,서울특별시 종로구 종로6가 12-25번지
11110,16400,0,0012,0029,환석빌딩,,일반건축물,제2종근린생활시설,"1,2종근린생활시설, 단독주택",253.28,151.62,911.47,20030801,5,1,서울특별시 종로구 종로6가 12-29번지
11110,16400,0,0012,0030,,,일반건축물,제2종근린생활시설,근린생활시설,0,0,492.74,19881111,4,1,서울특별시 종로구 종로6가 12-30번지
11110,16400,0,0012,0035,,,일반건축물,제1종근린생활시설,"근린생활시설, 주택",290.9,130.5,849.83,19930728,5,1,서울특별시 종로구 종로6가 12-35번지
11110,16400,0,0012,0040,,,일반건축물,단독주택,주택,0,0,69.42,,1,0,서울특별시 종로구 종로6가 12-40번지
11110,16400,0,0012,0042,,,일반건축물,단독주택,"주택, 근린생활시설",86,0,191.7,19901012,4,1,서울특별시 종로구 종로6가 12-42번지
11110,16400,0,0012,0043,,,일반건축물,제1종근린생활시설,휴게음식점,92.88,55.08,99.58,20250729,1,1,서울특별시 종로구 종로6가 12-43번지
11110,16400,0,0012,0045,,,일반건축물,단독주택,주택,0,0,23.14,,1,0,서울특별시 종로구 종로6가 12-45번지
11110,16400,0,0012,0054,,,일반건축물,단독주택,주택,0,0,46.28,,1,0,서울특별시 종로구 종로6가 12-54번지
11110,16400,0,0012,0055,,,일반건축물,단독주택,주택,0,0,163.48,19890325,3,1,서울특별시 종로구 종로6가 12-55번지
11110,16400,0,0012,0056,,,일반건축물,단독주택,주택,0,0,185.23,19890501,3,1,서울특별시 종로구 종로6가 12-56번지
11110,16400,0,0012,0064,,,일반건축물,단독주택,주택,0,0,27.9,19650301,1,0,서울특별시 종로구 종로6가 12-64번지
11110,16400,0,0012,0065,,,일반건축물,단독주택,주택,0,0,52.89,,1,0,서울특별시 종로구 종로6가 12-65번지
11110,16400,0,0012,0069,,,일반건축물,제2종근린생활시설,제2종근린생활시설,0,0,52.89,,1,0,서울특별시 종로구 종로6가 12-69번지
11110,16400,0,0012,0070,,,일반건축물,단독주택,주택,0,0,56.2,,1,0,서울특별시 종로구 종로6가 12-70번지
11110,16400,0,0012,0072,,,일반건축물,제2종근린생활시설,제2종근린생활시설,0,0,46.28,,1,0,서울특별시 종로구 종로6가 12-72번지
11110,16400,0,0016,0001,,,일반건축물,제2종근린생활시설,"사무실, 점포, 창고, 제조업소",78.26,0,148.02,,2,0,서울특별시 종로구 종로6가 16-1번지
11110,16400,0,0016,0004,,,일반건축물,제2종근린생활시설,제2종근린생활시설,169.5,100.94,715.32,20131030,6,1,서울특별시 종로구 종로6가 16-4번지
11110,16400,0,0016,0006,,,일반건축물,창고시설,"근린생활시설,창고시설",0,170.74,853.7,20041103,4,1,서울특별시 종로구 종로6가 16-6번지
11110,16400,0,0016,0006,,,일반건축물,창고시설,"근린생활시설, 창고시설",152.4,87.72,626.85,19970214,6,1,서울특별시 종로구 종로6가 16-6번지
11110,16400,0,0016,0011,,,일반건축물,제2종근린생활시설,근린생활시설,187.7,119.65,857.15,19980921,6,1,서울특별시 종로구 종로6가 16-11번지
11110,16400,0,0017,0001,,,일반건축물,단독주택,주택,0,0,36.36,,1,0,서울특별시 종로구 종로6가 17-1번지
11110,16400,0,0018,0002,,,일반건축물,단독주택,"주택, 점포",0,0,31.2,,2,0,서울특별시 종로구 종로6가 18-2번지
11110,16400,0,0019,0000,,,일반건축물,단독주택,주택,0,0,12,,1,0,서울특별시 종로구 종로6가 19번지
11110,16400,0,0020,0002,대명빌딩,,일반건축물,업무시설,업무시설,393.34,232.19,2999.87,20250514,11,4,서울특별시 종로구 종로6가 20-2번지
11110,16400,0,0020,0003,종로창고빌딩,,일반건축물,교육연구시설,"제1종근린생활시설,제2종근린생활시설,교육연구시설",730.05,422.01,5452.39,20020907,11,2,서울특별시 종로구 종로6가 20-3번지
11110,16400,0,0026,0001,,,일반건축물,단독주택,주택,0,0,303.33,19710816,2,1,서울특별시 종로구 종로6가 26-1번지
11110,16400,0,0026,0003,,,일반건축물,단독주택,주택,0,0,19.83,,1,0,서울특별시 종로구 종로6가 26-3번지
11110,16400,0,0026,0004,,,일반건축물,단독주택,주택,0,0,19.83,,1,0,서울특별시 종로구 종로6가 26-4번지
11110,16400,0,0027,0001,,,일반건축물,교육연구시설,"교육연구시설,근린생활시설",839.7,315,1943.3,19940223,6,1,서울특별시 종로구 종로6가 27-1번지
11110,16400,0,0027,0001,,,일반건축물,단독주택,주택,0,0,46.78,,1,0,서울특별시 종로구 종로6가 27-1번지
11110,16400,0,0027,0002,,,일반건축물,제1종근린생활시설,근린생활시설,265.9,0,659.5,19911212,4,1,서울특별시 종로구 종로6가 27-2번지
11110,16400,0,0029,0000,,,일반건축물,단독주택,주택,0,0,135.54,,2,0,서울특별시 종로구 종로6가 29번지
11110,16400,0,0030,0001,,,일반건축물,단독주택,"주택(1가구),근린생활시설",76,54.81,164.89,19691221,3,1,서울특별시 종로구 종로6가 30-1번지
11110,16400,0,0031,0000,,,일반건축물,제2종근린생활시설,제2종근린생활시설(사무소),76,41.39,76.93,19600901,2,0,서울특별시 종로구 종로6가 31번지
