sigunguCd,bjdongCd,platGbCd,bun,ji,bldNm,splotNm,regstrKindCdNm,mainPurpsCdNm,etcPurps,platArea,archArea,totArea,useAprDay,grndFlrCnt,ugrndFlrCnt,platPlc
11230,10700,0,0001,0001,,,일반건축물,종교시설,종교시설,0,54,54,19980424,1,0,서울특별시 동대문구 청량리동 1-1번지
11230,10700,0,0001,0001,,,일반건축물,종교시설,종교시설,0,449.41,2964.13,20150731,5,1,서울특별시 동대문구 청량리동 1-1번지
11230,10700,0,0001,0001,,,일반건축물,종교시설,종교시설,14256,688.39,1859.01,19820615,3,1,서울특별시 동대문구 청량리동 1-1번지
11230,10700,0,0001,0001,,,일반건축물,종교시설,종교시설,0,1371.58,4453.69,19881207,3,1,서울특별시 동대문구 청량리동 1-1번지
11230,10700,0,0001,0001,,,일반건축물,종교시설,경비실,0,20.52,20.52,19890616,1,0,서울특별시 동대문구 청량리동 1-1번지
11230,10700,0,0002,0004,동대문소방서 청량리119안전센터,,일반건축물,제1종근린생활시설,공공업무시설,718,312.99,787.87,20050104,3,1,서울특별시 동대문구 청량리동 2-4번지
11230,10700,0,0002,0005,,,일반건축물,제2종근린생활시설,근린생활시설 외1,176.86,0,513.1,19890721,4,1,서울특별시 동대문구 청량리동 2-5번지
11230,10700,0,0002,0006,에이플러스 청량,,표제부,업무시설,업무시설,287,171.78,1622.16,20201029,13,1,서울특별시 동대문구 청량리동 2-6번지
11230,10700,0,0002,0007,,,표제부,숙박시설,(다중생활시설),238.58,143.11,2159.91,20120625,15,2,서울특별시 동대문구 청량리동 2-7번지
11230,10700,0,0002,0009,,,일반건축물,단독주택,다가구용단독주택(3가구),65.9,45.96,122.1,19931110,2,1,서울특별시 동대문구 청량리동 2-9번지
11230,10700,0,0002,0010,,,일반건축물,단독주택,다가구용단독주택(5가구),99.24,59.46,149.58,19931230,2,1,서울특별시 동대문구 청량리동 2-10번지
11230,10700,0,0002,0013,,,일반건축물,단독주택,다가구용단독주택(3가구),77.15,52.24,115.02,19931202,2,1,서울특별시 동대문구 청량리동 2-13번지
11230,10700,0,0002,0014,,,일반건축물,단독주택,다가구용단독주택(5가구),107.4,60.65,149.35,19930723,2,1,서울특별시 동대문구 청량리동 2-14번지
11230,10700,0,0002,0015,,,일반건축물,단독주택,"다중주택, 근린생활시설",228,128.25,424.84,20180629,4,0,서울특별시 동대문구 청량리동 2-15번지
11230,10700,0,0007,0000,,,일반건축물,교육연구시설,학교시설,0,935.39,2050.19,19971112,3,0,서울특별시 동대문구 청량리동 7번지
11230,10700,0,0007,0000,청량고등학교,,일반건축물,교육연구시설,교육연구시설,16277,0,8438.72,,5,0,서울특별시 동대문구 청량리동 7번지
11230,10700,0,0007,0000,정보센타동,,일반건축물,교육연구시설,교육연구시설(교사),0,961.31,4818.14,20041104,6,0,서울특별시 동대문구 청량리동 7번지
11230,10700,0,0011,0001,동대문노인종합복지관및청소년수련관,,일반건축물,수련시설,교육연구및복지시설,2899,1296.79,7583.05,20030306,5,2,서울특별시 동대문구 청량리동 11-1번지
11230,10700,0,0011,0002,황금빌라,,표제부,공동주택,다세대주택(6세대),159.8,81.6,244.8,19910614,2,1,서울특별시 동대문구 청량리동 11-2번지
11230,10700,0,0011,0003,,,표제부,공동주택,다세대주택,293.27,175.32,571.41,19940225,3,1,서울특별시 동대문구 청량리동 11-3번지
11230,10700,0,0011,0005,,,표제부,공동주택,다세대주택(9세대),384,221.26,602.78,19951115,2,1,서울특별시 동대문구 청량리동 11-5번지
