sigunguCd,bjdongCd,platGbCd,bun,ji,bldNm,splotNm,regstrKindCdNm,mainPurpsCdNm,etcPurps,platArea,archArea,totArea,useAprDay,grndFlrCnt,ugrndFlrCnt,platPlc
11140,13600,0,0001,0000,,,일반건축물,단독주택,주택,0,0,31.54,19600520,1,0,서울특별시 중구 묵정동 1번지
11140,13600,0,0001,0024,,,일반건축물,단독주택,주택,0,0,57.75,,2,0,서울특별시 중구 묵정동 1-24번지
11140,13600,0,0003,0018,,,일반건축물,단독주택,"주택,제2종근린생활시설",0,0,195.08,19301001,2,0,서울특별시 중구 묵정동 3-18번지
11140,13600,0,0003,0024,,,일반건축물,단독주택,주택,0,0,128.93,,2,0,서울특별시 중구 묵정동 3-24번지
11140,13600,0,0003,0040,,,일반건축물,제2종근린생활시설,근린생활시설,317.99,143.09,898.55,19910114,5,1,서울특별시 중구 묵정동 3-40번지
11140,13600,0,0010,0000,,,일반건축물,제1종근린생활시설,근린생활시설,0,0,312,19841002,3,1,서울특별시 중구 묵정동 10번지
11140,13600,0,0011,0002,충무아파트,,표제부,공동주택,"근린생활시설, 아파트",0,0,5161.72,19820403,10,1,서울특별시 중구 묵정동 11-2번지
11140,13600,0,0011,0002,별동,,일반건축물,위험물저장및처리시설,깨스실,0,0,22.78,19820403,0,1,서울특별시 중구 묵정동 11-2번지
11140,13600,0,0011,0067,,,일반건축물,위험물저장및처리시설,깨스실,0,0,28,19810525,0,1,서울특별시 중구 묵정동 11-67번지
11140,13600,0,0011,0067,,,표제부,공동주택,아파트,0,0,7354.08,19810525,10,1,서울특별시 중구 묵정동 11-67번지
11140,13600,0,0012,0000,,,일반건축물,단독주택,주택,0,0,39.67,19531020,1,0,서울특별시 중구 묵정동 12번지
11140,13600,0,0012,0000,,,일반건축물,단독주택,주택,0,0,19.83,19530605,1,0,서울특별시 중구 묵정동 12번지
11140,13600,0,0013,0000,,,일반건축물,단독주택,주택,0,0,52.89,19550901,1,0,서울특별시 중구 묵정동 13번지
11140,13600,0,0013,0000,,,일반건축물,단독주택,주택,0,0,33.06,19560914,1,0,서울특별시 중구 묵정동 13번지
11140,13600,0,0018,0003,,,일반건축물,단독주택,주택,0,0,26.45,19540507,1,0,서울특별시 중구 묵정동 18-3번지
11140,13600,0,0018,0009,,,일반건축물,제1종근린생활시설,제1종근린생활시설,0,0,882.2,19910904,5,1,서울특별시 중구 묵정동 18-9번지
11140,13600,0,0018,0027,,,일반건축물,공동주택,"기숙사, 근린생활시설",0,0,2961.33,19681120,5,1,서울특별시 중구 묵정동 18-27번지
11140,13600,0,0018,0029,,,일반건축물,업무시설,"근린생활시설, 기숙사, 사무실",694.9,346,1369.34,19590405,4,1,서울특별시 중구 묵정동 18-29번지
11140,13600,0,0020,0000,,,일반건축물,단독주택,주택,0,0,49.59,19550523,1,0,서울특별시 중구 묵정동 20번지
11140,13600,0,0021,0004,,,일반건축물,단독주택,주택,0,0,175.7,19710911,2,1,서울특별시 중구 묵정동 21-4번지
11140,13600,0,0021,0004,,,일반건축물,노유자시설,노유자시설,237.6,132.57,340.63,19941216,2,1,서울특별시 중구 묵정동 21-4번지
11140,13600,0,0021,0011,,,일반건축물,단독주택,"근린생활시설, 주택",0,0,208.1,19880311,3,1,서울특별시 중구 묵정동 21-11번지
11140,13600,0,0022,0003,,,일반건축물,제1종근린생활시설,"제1종근린생활시설, 주택",169.3,84.5,443.74,19930918,5,1,서울특별시 중구 묵정동 22-3번지
11140,13600,0,0022,0008,묵정동 UBF 교육원,,일반건축물,교육연구시설,"교육연구및복지시설,공동주택",591.68,345.01,1528.14,20040210,5,1,서울특별시 중구 묵정동 22-8번지
11140,13600,0,0022,0010,묵정동신축건물,,일반건축물,제2종근린생활시설,제2종근린생활시설,102.5,61.46,61.46,20050704,1,0,서울특별시 중구 묵정동 22-10번지
11140,13600,0,0022,0011,,,일반건축물,단독주택,주택,0,0,62.81,19560401,2,0,서울특별시 중구 묵정동 22-11번지
11140,13600,0,0022,0012,,,일반건축물,단독주택,단독주택,90.9,63.7,175.72,19650422,3,1,서울특별시 중구 묵정동 22-12번지
11140,13600,0,0022,0014,,,일반건축물,단독주택,주택,0,0,46.28,19550830,1,0,서울특별시 중구 묵정동 22-14번지
11140,13600,0,0022,0015,,,일반건축물,제1종근린생활시설,제1종근린생활시설(소매점),122.94,66.83,133.66,20210702,2,0,서울특별시 중구 묵정동 22-15번지
11140,13600,0,0022,0018,,,일반건축물,단독주택,단독주택,101.21,63.23,182.23,,3,0,서울특별시 중구 묵정동 22-18번지
11140,13600,0,0022,0022,,,표제부,공동주택,다세대(도시형생활주택(원룸형)),251.33,136.61,642.44,20130108,5,1,서울특별시 중구 묵정동 22-22번지
11140,13600,0,0022,0024,,,일반건축물,단독주택,주택,0,0,46.28,19540630,1,0,서울특별시 중구 묵정동 22-24번지
11140,13600,0,0022,0025,,,일반건축물,단독주택,주택,0,0,165.29,19650510,3,1,서울특별시 중구 묵정동 22-25번지
11140,13600,0,0022,0030,,,일반건축물,단독주택,주택,166.4,95.81,177.14,19701229,2,1,서울특별시 중구 묵정동 22-30번지
11140,13600,0,0022,0031,,,일반건축물,단독주택,주택,82.3,0,69.07,19720630,1,0,서울특별시 중구 묵정동 22-31번지
11140,13600,0,0022,0033,,,일반건축물,단독주택,주택,0,0,24.53,19541001,1,0,서울특별시 중구 묵정동 22-33번지
