sigunguCd,bjdongCd,platGbCd,bun,ji,bldNm,splotNm,regstrKindCdNm,mainPurpsCdNm,etcPurps,platArea,archArea,totArea,useAprDay,grndFlrCnt,ugrndFlrCnt,platPlc
11590,10800,0,0001,0000,그린빌딩,,표제부,공동주택,공동주택,503.19,299.53,1512.85,20110516,2,3,서울특별시 동작구 대방동 1번지
11590,10800,0,0001,0004,,,일반건축물,단독주택,다가구용단독주택및 근린생활시설,135.38,81.21,330.7,19940207,4,1,서울특별시 동작구 대방동 1-4번지
11590,10800,0,0001,0006,미성빌딩,,일반건축물,단독주택,단독주택,137.5,81.4,274.35,20080211,5,0,서울특별시 동작구 대방동 1-6번지
11590,10800,0,0001,0007,,,일반건축물,단독주택,단독주택(다가구주택),124.7,73.16,268.08,20091214,5,0,서울특별시 동작구 대방동 1-7번지
11590,10800,0,0001,0008,,,일반건축물,단독주택,단독(다중)주택 및 근린생활시설,126,75.21,251.36,20171013,4,0,서울특별시 동작구 대방동 1-8번지
11590,10800,0,0001,0009,,,일반건축물,단독주택,단독주택(다가구주택),155,106.5,175.99,19690131,2,0,서울특별시 동작구 대방동 1-9번지
11590,10800,0,0001,0011,천록빌라,,표제부,공동주택,연립주택,0,730.42,2828.68,19880813,3,1,서울특별시 동작구 대방동 1-11번지
11590,10800,0,0002,0000,,,일반건축물,단독주택,다가구용단독주택(5가구),92.48,54.65,145.48,19930823,2,1,서울특별시 동작구 대방동 2번지
11590,10800,0,0002,0003,,,일반건축물,단독주택,주택,101.08,48.51,107.91,19840323,2,1,서울특별시 동작구 대방동 2-3번지
11590,10800,0,0002,0004,,,일반건축물,단독주택,다가구용단독주택(5가구),86.92,46.62,134.62,19940615,2,1,서울특별시 동작구 대방동 2-4번지
11590,10800,0,0003,0001,,,일반건축물,제1종근린생활시설,근린생활시설 및 주택,0,92.52,323.7,19880725,3,1,서울특별시 동작구 대방동 3-1번지
11590,10800,0,0003,0006,,,일반건축물,제1종근린생활시설,근린생활시설 및 주택,0,269.99,1438.3,19890906,4,1,서울특별시 동작구 대방동 3-6번지
11590,10800,0,0003,0008,,,일반건축물,단독주택,단독주택(다가구주택),258,114.08,222.13,19831215,2,1,서울특별시 동작구 대방동 3-8번지
11590,10800,0,0003,0009,,,일반건축물,단독주택,주택,149,67.77,167.61,19840806,2,1,서울특별시 동작구 대방동 3-9번지
11590,10800,0,0003,0010,,,일반건축물,단독주택,근린생활시설 및 주택,214,93.6,422.64,19940618,3,1,서울특별시 동작구 대방동 3-10번지
11590,10800,0,0003,0012,,,일반건축물,단독주택,주택,0,57.19,57.19,19720304,1,0,서울특별시 동작구 대방동 3-12번지
11590,10800,0,0003,0013,,,일반건축물,단독주택,주택,0,57.19,57.19,19720304,1,0,서울특별시 동작구 대방동 3-13번지
11590,10800,0,0003,0016,,,일반건축물,단독주택,주택,155.13,71.22,210.45,19841203,2,1,서울특별시 동작구 대방동 3-16번지
11590,10800,0,0003,0017,,,일반건축물,단독주택,주택,194.06,70.41,214.57,19870525,2,1,서울특별시 동작구 대방동 3-17번지
11590,10800,0,0003,0018,,,표제부,공동주택,다세대주택,191.35,82.26,246.78,19860812,2,1,서울특별시 동작구 대방동 3-18번지
11590,10800,0,0004,0000,,,일반건축물,제1종근린생활시설,근린생활시설,347.99,39.69,51.03,19831219,1,1,서울특별시 동작구 대방동 4번지
11590,10800,0,0005,0000,,,일반건축물,제1종근린생활시설,근린생활시설 및 주택,0,91.91,465.73,19890619,4,1,서울특별시 동작구 대방동 5번지
11590,10800,0,0005,0001,동작종합사회복지관,,일반건축물,교육연구및복지시설,복지관(근린생활시설),630,337.71,1424.12,19850118,4,1,서울특별시 동작구 대방동 5-1번지
11590,10800,0,0005,0002,정원쉐르빌,,표제부,공동주택,단지형다세대주택 및 근린생활시설,961,177.4,991.92,20170710,6,1,서울특별시 동작구 대방동 5-2번지
11590,10800,0,0005,0002,정원쉐르빌,,표제부,공동주택,단지형다세대주택 및 근린생활시설,961,142.1,675.97,20170710,6,1,서울특별시 동작구 대방동 5-2번지
11590,10800,0,0005,0002,정원쉐르빌,,표제부,공동주택,단지형다세대주택 및 근린생활시설,961,170.51,827.13,20170710,6,1,서울특별시 동작구 대방동 5-2번지
