sigunguCd,bjdongCd,platGbCd,bun,ji,bldNm,splotNm,regstrKindCdNm,mainPurpsCdNm,etcPurps,platArea,archArea,totArea,useAprDay,grndFlrCnt,ugrndFlrCnt,platPlc
11530,10100,0,0270,0002,,,일반건축물,교육연구시설,교육연구시설(고등학교),13527,3417.29,11312.04,20090219,4,1,서울특별시 구로구 신도림동 270-2번지
11530,10100,0,0271,0025,신도림삼성쉐르빌 1,,표제부,업무시설,경비실,0,15,15,20100315,1,0,서울특별시 구로구 신도림동 271-25번지
11530,10100,0,0271,0025,신도림삼성쉐르빌 1,,표제부,업무시설,업무시설(오피스텔),0,416.73,13319.7,20100217,29,3,서울특별시 구로구 신도림동 271-25번지
11530,10100,0,0271,0025,신도림삼성쉐르빌 1,,표제부,업무시설,업무시설(오피스텔),0,239.79,5066.79,20100217,17,3,서울특별시 구로구 신도림동 271-25번지
11530,10100,0,0271,0025,신도림삼성쉐르빌 1,,표제부,업무시설,"업무시설(오피스텔),제2종근린생활시설",0,409.16,13563.97,20100217,29,3,서울특별시 구로구 신도림동 271-25번지
11530,10100,0,0271,0041,콜카빌,,표제부,업무시설,"업무시설(오피스텔),근린생활시설",1764,399.08,7872.88,20111108,15,2,서울특별시 구로구 신도림동 271-41번지
11530,10100,0,0276,0001,,,일반건축물,단독주택,주택,0,40.03,45.68,19760306,1,1,서울특별시 구로구 신도림동 276-1번지
11530,10100,0,0276,0005,리버스타운,,표제부,공동주택,"도시형생활주택(단지형다세대주택-16세대) 및 제1,2종근린생활시설",690,215.4,999.63,20160805,7,0,서울특별시 구로구 신도림동 276-5번지
11530,10100,0,0276,0005,리버스타운,,표제부,공동주택,도시형생활주택(단지형다세대주택-10세대) 및 2종근린생활시설(사무소-6호),690,140.93,662.76,20160805,7,0,서울특별시 구로구 신도림동 276-5번지
11530,10100,0,0276,0013,,,일반건축물,창고시설,"공장, 창고",0,115.45,115.45,19711130,1,0,서울특별시 구로구 신도림동 276-13번지
11530,10100,0,0276,0020,,,일반건축물,자동차관련시설,자동차관련시설(정비공장),564,201.14,250.38,19940622,2,0,서울특별시 구로구 신도림동 276-20번지
