sigunguCd,bjdongCd,platGbCd,bun,ji,bldNm,splotNm,regstrKindCdNm,mainPurpsCdNm,etcPurps,platArea,archArea,totArea,useAprDay,grndFlrCnt,ugrndFlrCnt,platPlc
11620,10300,0,0496,0002,,,일반건축물,단독주택,주택,0,0,62.15,19841218,1,0,서울특별시 관악구 남현동 496-2번지
11620,10300,0,0513,0001,,,일반건축물,단독주택,단독주택,205,100.99,328.3,20100806,3,1,서울특별시 관악구 남현동 513-1번지
11620,10300,0,0515,0001,,,일반건축물,단독주택,다가구용단독주택,281,138.47,561.69,19901207,3,1,서울특별시 관악구 남현동 515-1번지
11620,10300,0,0519,0003,,,일반건축물,제2종근린생활시설,종교시설,2727,544.86,709.97,,1,1,서울특별시 관악구 남현동 519-3번지
11620,10300,0,0602,0001,,,일반건축물,제2종근린생활시설,근린생활시설,331.2,185.96,1224.66,19900119,7,1,서울특별시 관악구 남현동 602-1번지
11620,10300,0,0602,0002,,,일반건축물,숙박시설,숙박시설외 1,275.2,164.48,1661.97,19991202,10,1,서울특별시 관악구 남현동 602-2번지
11620,10300,0,0602,0003,,,일반건축물,숙박시설,숙박시설,248,139.92,1296.56,19981216,9,1,서울특별시 관악구 남현동 602-3번지
11620,10300,0,0602,0004,,,일반건축물,숙박시설,숙박시설,228,131.04,1061.89,20041118,6,3,서울특별시 관악구 남현동 602-4번지
11620,10300,0,0602,0005,,,일반건축물,숙박시설,숙박시설 외1,231,119.88,1024.06,19971113,8,1,서울특별시 관악구 남현동 602-5번지
11620,10300,0,0602,0010,우남빌딩,,일반건축물,제1종근린생활시설,제1종근린생활시설 외 2,310.58,173.42,1352.61,20050805,8,2,서울특별시 관악구 남현동 602-10번지
11620,10300,0,0602,0011,,,일반건축물,제1종근린생활시설,근린생활시설,294,145.2,883.22,19930805,5,1,서울특별시 관악구 남현동 602-11번지
11620,10300,0,0602,0012,남현동 602-12 업무시설,,표제부,업무시설,업무시설 외3,271,155.36,1064.41,20041201,6,1,서울특별시 관악구 남현동 602-12번지
11620,10300,0,0602,0013,,,일반건축물,숙박시설,숙박시설,274,161.25,1343.26,19991224,8,1,서울특별시 관악구 남현동 602-13번지
11620,10300,0,0602,0014,,,일반건축물,숙박시설,일반숙박시설,274,164,1376.64,19991113,9,1,서울특별시 관악구 남현동 602-14번지
11620,10300,0,0602,0015,,,일반건축물,숙박시설,일반숙박시설,261,155.59,1294.9,19980415,9,1,서울특별시 관악구 남현동 602-15번지
11620,10300,0,0602,0016,,,일반건축물,숙박시설,숙박시설(33실),248,144.29,1079.42,19971108,7,1,서울특별시 관악구 남현동 602-16번지
11620,10300,0,0602,0017,다청림 라인씨티,,표제부,공동주택,공동주택외 2,1051,628.38,6132.27,20160705,13,2,서울특별시 관악구 남현동 602-17번지
11620,10300,0,0602,0018,화인오피스텔,,표제부,업무시설,업무시설 외1,301,178.12,1083.28,20030828,8,0,서울특별시 관악구 남현동 602-18번지
11620,10300,0,0602,0019,콤팩트하우스,,표제부,업무시설,업무시설외1,598,334.53,3242.7,20101125,9,2,서울특별시 관악구 남현동 602-19번지
11620,10300,0,0602,0021,위즈엘타워(Wiz-L Tower),,일반건축물,제2종근린생활시설,제2종근린생활시설 외 2,311,185.76,1749.06,20040318,10,1,서울특별시 관악구 남현동 602-21번지
11620,10300,0,0602,0022,,,일반건축물,제2종근린생활시설,근린생활시설,0,0,684.51,19910731,4,1,서울특별시 관악구 남현동 602-22번지
11620,10300,0,0602,0025,,,일반건축물,제2종근린생활시설,근린생활시설 외1,608,300.56,1871.76,19920813,5,1,서울특별시 관악구 남현동 602-25번지
11620,10300,0,0602,0026,M_STUDIO,,표제부,공동주택,공동주택 외1,298,178.59,1253.3,20160726,8,1,서울특별시 관악구 남현동 602-26번지
11620,10300,0,0602,0027,,,표제부,공동주택,공동주택 외 1,298,178.72,1676.3,20210125,14,1,서울특별시 관악구 남현동 602-27번지
11620,10300,0,0602,0028,네스코 수피아 아파트,,표제부,공동주택,공동주택 외 3,364,218.18,2094.19,20210526,14,1,서울특별시 관악구 남현동 602-28번지
11620,10300,0,0602,0029,,,일반건축물,업무시설,"오피스텔, 제1,2종근린생활시설",231,137.84,950.23,20121217,7,1,서울특별시 관악구 남현동 602-29번지
11620,10300,0,0602,0030,오피스텔,,표제부,업무시설,오피스텔,427,254.93,2369.9,19981030,9,1,서울특별시 관악구 남현동 602-30번지
11620,10300,0,0602,0032,,,일반건축물,단독주택,단독주택,221,131.52,527.52,19950125,4,1,서울특별시 관악구 남현동 602-32번지
11620,10300,0,0602,0033,덕인오피스텔,,일반건축물,업무시설,업무시설,221,131.32,662.07,20040730,6,0,서울특별시 관악구 남현동 602-33번지
11620,10300,0,0602,0034,,,일반건축물,업무시설,업무시설,225,130.46,853.29,20010329,9,0,서울특별시 관악구 남현동 602-34번지
11620,10300,0,0602,0035,,,표제부,업무시설,업무시설,218,130.75,1002.48,20010514,8,1,서울특별시 관악구 남현동 602-35번지
11620,10300,0,0602,0036,남현동오피스텔(뉴타운오피스텔),,표제부,업무시설,업무시설,225,130.06,670.3,20030303,6,0,서울특별시 관악구 남현동 602-36번지
11620,10300,0,0602,0037,,,표제부,업무시설,업무시설,218,130,1166.51,19991028,8,1,서울특별시 관악구 남현동 602-37번지
11620,10300,0,0602,0038,,,일반건축물,제2종근린생활시설,근린생활시설,241,119.31,678.91,19930624,5,1,서울특별시 관악구 남현동 602-38번지
11620,10300,0,0602,0039,,,일반건축물,업무시설,업무시설 외 2,231,124.57,893.71,20080321,7,1,서울특별시 관악구 남현동 602-39번지
